id,fecha,nombre,identificador,telefono,genero,jubilado,pareja,dependientes,antiguedad,internet,seguridad,backup,proteccion,soporte,telefonia,streaming_tv,streaming_movies,contrato,factura_electronica,metodo_pago,cargo_mensual,cargo_total,prediccion,probabilidad,propuesta_comercial,venta_cerrada
22,2026-06-26 13:18,Cristian Guerrero,1007447449,3154743571,Masculino,No,Sí,Sí,0.0,Fibra Óptica,Sí,Sí,Sí,Sí,Líneas Múltiples,No,No,Mes a Mes,Sí,Tarjeta de Crédito Automática,127.0,0.0,Estable,0.17352862552706683,MODERADO: Ofrecer incentivo menor para migrar a contrato de 1 año.,Contrató Servicio ✔️
21,2026-06-26 13:14,Gloria Inés Cardona,9518-ZRVX,316-472-8066,female,0,no,no,11.0,no_contract,N/D,N/D,N/D,N/D,no_contract,N/D,N/D,month_to_month,N/D,bank_transfer_automatic,0.0,0.0,Riesgo Alto,0.9352274099769089,Ofrecer descuento de retención.,Pendiente
20,2026-06-26 13:14,Nelson Enrique Benítez,9346-MVRK,310-218-5279,female,0,no,yes,9.0,Fiber optic,N/D,N/D,N/D,N/D,no_contract,N/D,N/D,month_to_month,N/D,electronic_check,86.0,774.0,Riesgo Alto,0.7649141956452549,Ofrecer descuento de retención.,Pendiente
19,2026-06-26 13:14,Claudia Patricia Ortiz,1634-PHGO,321-412-4728,male,1,no,no,1.0,no_contract,N/D,N/D,N/D,N/D,yes,N/D,N/D,month_to_month,N/D,bank_transfer_automatic,30.0,30.0,Riesgo Alto,0.7244261780924478,Ofrecer descuento de retención.,Pendiente
18,2026-06-26 13:14,Ricardo Antonio Franco,6862-GVHV,313-462-7658,female,1,yes,no,71.0,Fiber optic,N/D,N/D,N/D,N/D,yes,N/D,N/D,two_year,N/D,credit_card_automatic,132.5,9407.5,Riesgo Alto,0.6206982961817001,Ofrecer descuento de retención.,Pendiente
17,2026-06-26 13:14,Angela María Martínez,1722-AKYE,318-265-8239,male,1,yes,yes,69.0,DSL,N/D,N/D,N/D,N/D,no,N/D,N/D,two_year,N/D,electronic_check,92.5,6382.5,Estable,0.29519216213226507,Monitoreo estándar.,Pendiente
16,2026-06-26 13:14,santiago Alejandro Suárez,9666-AVRJ,313-999-3200,female,1,no,yes,15.0,Fiber optic,N/D,N/D,N/D,N/D,yes,N/D,N/D,one_year,N/D,bank_transfer_automatic,121.5,1822.5,Riesgo Alto,0.5576871193896121,Ofrecer descuento de retención.,Pendiente
15,2026-06-26 13:14,Martha Cecilia Rojas,5351-MEVU,319-568-6180,male,0,no,no,1.0,DSL,N/D,N/D,N/D,N/D,yes,N/D,N/D,month_to_month,N/D,bank_transfer_automatic,97.0,97.0,Riesgo Alto,0.678238417495917,Ofrecer descuento de retención.,Pendiente
14,2026-06-26 13:14,oscar Iván Castellanos,6138-BBSP,315-158-9320,male,1,no,no,6.0,Fiber optic,N/D,N/D,N/D,N/D,yes,N/D,N/D,month_to_month,N/D,mailed_check,132.5,795.0,Riesgo Alto,0.7258606801120195,Ofrecer descuento de retención.,Pendiente
13,2026-06-26 13:14,Sandra Milena Duarte,4872-FNPP,316-985-7570,female,0,yes,no,6.0,DSL,N/D,N/D,N/D,N/D,yes,N/D,N/D,month_to_month,N/D,electronic_check,80.5,483.0,Riesgo Alto,0.6476289878726131,Ofrecer descuento de retención.,Pendiente
12,2026-06-26 13:14,Gustavo Adolfo Rincón,2612-BMXK,313-354-4139,male,1,yes,yes,18.0,DSL,N/D,N/D,N/D,N/D,no_contract,N/D,N/D,month_to_month,N/D,electronic_check,61.5,1107.0,Estable,0.4732219472523289,Monitoreo estándar.,Pendiente
11,2026-06-26 13:14,Paula Andrea Mendoza,2104-BKCQ,317-385-8953,male,1,no,no,18.0,Fiber optic,N/D,N/D,N/D,N/D,no,N/D,N/D,month_to_month,N/D,electronic_check,111.5,2007.0,Riesgo Alto,0.6369585566264202,Ofrecer descuento de retención.,Pendiente
10,2026-06-26 13:14,Jorge Eliécer Torres,7118-OQOD,317-330-2049,male,0,yes,yes,12.0,no_contract,N/D,N/D,N/D,N/D,no_contract,N/D,N/D,one_year,N/D,mailed_check,0.0,0.0,Riesgo Alto,0.9352274099769089,Ofrecer descuento de retención.,Pendiente
9,2026-06-26 13:14,Laura Valentina Becerra,9005-ADLZ,319-345-1949,female,1,yes,yes,3.0,Fiber optic,N/D,N/D,N/D,N/D,no_contract,N/D,N/D,month_to_month,N/D,credit_card_automatic,97.0,291.0,Riesgo Alto,0.6836195768632846,Ofrecer descuento de retención.,Pendiente
8,2026-06-26 13:14,Carlos Mario Aristizábal,1188-VXDV,318-887-6573,female,0,yes,no,10.0,DSL,N/D,N/D,N/D,N/D,yes,N/D,N/D,month_to_month,N/D,bank_transfer_automatic,97.0,970.0,Riesgo Alto,0.6743214249325798,Ofrecer descuento de retención.,Pendiente
7,2026-06-26 13:14,Ana Sofía Patiño,4593-EQPC,311-981-2796,female,0,no,no,6.0,no_contract,N/D,N/D,N/D,N/D,no_contract,N/D,N/D,month_to_month,N/D,bank_transfer_automatic,0.0,0.0,Riesgo Alto,0.9352274099769089,Ofrecer descuento de retención.,Pendiente
6,2026-06-26 13:14,Luis Eduardo Gómez,4752-BZKM,318-167-4456,male,0,no,no,69.0,DSL,N/D,N/D,N/D,N/D,no_contract,N/D,N/D,two_year,N/D,bank_transfer_automatic,56.0,3864.0,Estable,0.43807596562699874,Monitoreo estándar.,Pendiente
5,2026-06-26 13:14,Diana Marcela Silva,2307-HDMI,324-750-6977,female,1,no,yes,12.0,DSL,N/D,N/D,N/D,N/D,no_contract,N/D,N/D,month_to_month,N/D,electronic_check,72.5,870.0,Riesgo Alto,0.6490170389999544,Ofrecer descuento de retención.,Pendiente
4,2026-06-26 13:14,Andrés Felipe Guerrero,5333-ZBXO,313-487-2291,female,0,yes,yes,42.0,no_contract,N/D,N/D,N/D,N/D,no_contract,N/D,N/D,two_year,N/D,bank_transfer_automatic,0.0,0.0,Riesgo Alto,0.9352274099769089,Ofrecer descuento de retención.,Pendiente
3,2026-06-26 13:14,María Camila Restrepo,9279-TARG,323-325-8359,female,0,yes,no,41.0,Fiber optic,N/D,N/D,N/D,N/D,yes,N/D,N/D,two_year,N/D,bank_transfer_automatic,121.5,4981.5,Riesgo Alto,0.5567750616539079,Ofrecer descuento de retención.,Pendiente
2,2026-06-26 13:14,Juan Carlos Pérez,2824-AXIH,317-242-2679,male,1,yes,yes,71.0,no_contract,N/D,N/D,N/D,N/D,yes,N/D,N/D,two_year,N/D,mailed_check,30.0,2130.0,Estable,0.2872454391764788,Monitoreo estándar.,Pendiente
1,2026-06-26 13:04,Cliente Ejemplo 2,0000-0000,300-000-0000,Masculino,No,Sí,Sí,0.0,DSL,Sí,Sí,Sí,Sí,Línea Única,No,No,Mes a Mes,Sí,Cheque Electrónico,87.0,0.0,Estable,0.17352862552706683,MODERADO: Ofrecer incentivo menor para migrar a contrato de 1 año.,Pendiente
